Nb;CostH1yr;CostMRR1yr;CostYRR1yr;CostH3yr;CostMRR3yr;CostYRR3yr1yr;CostYRR3yr;ODH;ODMRR;ODYRR;SnapG/M;gp2G/M;gp3G/M;io1G/M;st1G/M;s3<50T;s3<450T;s3>500T;glacierG/M;Ec2Type;CPU;RAM;SAPS;Hana;S/4;BW/4;PROD;OS;Region Code;Region Name
1;0,2978;217,36;2608,29;0,2353;171,76;2061,15;6183,46;0,474;346,02;4152,29;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c4.2xlarge;8;15;9515;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
2;0,5673;414,1;4969,25;0,4423;322,91;3874,97;11624,9;0,8633;630,21;7562,56;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c4.4xlarge;16;30;19030;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
3;1,1063;807,6;9691,16;0,8565;625,22;7502,6;22507,79;1,6402;1197,34;14368,11;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c4.8xlarge;36;60;37950;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
4;0,0958;69,95;839,45;0,0796;58,09;697,04;2091,13;0,1831;133,66;1603,95;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c4.large;2;3,75;2379;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
5;0,1634;119,3;1431,56;0,1318;96,19;1154,25;3462,74;0,2798;204,24;2450,9;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c4.xlarge;4;7,5;4758;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
6;1,9106;1394,71;16736,56;1,3193;963,12;11557,44;34672,33;3,0733;2243,53;26922,4;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5.18xlarge;72;144;95400;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
7;0,237;173,01;2076,14;0,172;125,54;1506,52;4519,55;0,4175;304,8;3657,61;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5.2xlarge;8;16;10600;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
8;0,4466;326,04;3912,44;0,3149;229,85;2758,2;8274,59;0,7495;547,14;6565,71;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5.4xlarge;16;32;21200;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
9;0,9694;707,66;8491,95;0,6734;491,55;5898,64;17695,93;1,5794;1153;13835,96;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5.9xlarge;36;72;47700;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
10;0,0804;58,71;704,54;0,0642;46,84;562,13;1686,4;0,1309;95,56;1146,75;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5.large;2;4;2650;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
11;0,1326;96,81;1161,74;0,1001;73,08;876,93;2630,78;0,2139;156,15;1873,78;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5.xlarge;4;8;5300;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
12;1,1765;858,81;10305,76;0,818;597,11;7165,32;21495,95;1,8935;1382,22;16586,66;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5a.12xlarge;48;96;65915;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
13;1,5521;1133,01;13596,11;1,0755;785,11;9421,34;28264,02;2,489;1816,94;21803,25;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5a.16xlarge;64;128;87887;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
14;2,3024;1680,78;20169,31;1,5897;1160,49;13925,9;41777,69;3,68;2686,37;32236,43;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5a.24xlarge;96;192;131830;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
15;0,2387;174,26;2091,13;0,1745;127,42;1529;4587;0,4047;295,43;3545,18;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5a.2xlarge;8;16;10986;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
